,index,Lat,Lon,Temp
531,45,-2.5,-55.0,298.33798
532,46,-2.9,-60.56,297.379
533,47,-2.5,-55.0,298.227
534,48,-2.9,-60.56,297.998
535,49,-2.5,-55.0,298.28
536,50,-2.9,-60.56,298.16098
537,51,-2.5,-55.0,298.178
538,52,-2.9,-60.56,298.779
539,53,-2.5,-55.0,298.423
540,54,-2.9,-60.56,298.803
541,55,-2.5,-55.0,298.719
542,56,-2.9,-60.56,298.314
543,57,-2.5,-55.0,298.678
544,58,-2.9,-60.56,298.192
545,59,-2.5,-55.0,297.66
546,0,-2.9,-60.56,298.19998
547,1,-2.5,-55.0,297.5
548,2,-2.9,-60.56,298.16098
549,3,-2.5,-55.0,297.50598
550,4,-2.9,-60.56,297.837
551,5,-2.5,-55.0,297.54
552,6,-2.9,-60.56,298.061
553,7,-2.5,-55.0,297.524
554,8,-2.9,-60.56,298.30798
555,9,-2.5,-55.0,298.344
556,10,-2.9,-60.56,297.922
557,11,-2.5,-55.0,298.572
558,12,-2.9,-60.56,297.902
559,13,-2.5,-55.0,299.18
560,14,-2.9,-60.56,299.16
561,15,-2.5,-55.0,299.195
562,16,-2.9,-60.56,299.198
563,17,-2.5,-55.0,299.745
564,18,-2.9,-60.56,299.169
565,19,-2.5,-55.0,299.343
566,20,-2.9,-60.56,298.985
567,21,-2.5,-55.0,299.21
568,22,-2.9,-60.56,298.093
569,23,-2.5,-55.0,299.21698
570,24,-2.9,-60.56,298.83
571,25,-2.5,-55.0,300.098
572,26,-2.9,-60.56,298.83798
573,27,-2.5,-55.0,300.354
574,28,-2.9,-60.56,297.915
575,29,-2.5,-55.0,300.03198
576,30,-2.9,-60.56,297.78598
577,31,-2.5,-55.0,299.914
578,32,-2.9,-60.56,297.809
579,33,-2.5,-55.0,297.991
580,34,-2.9,-60.56,298.333
581,35,-2.5,-55.0,299.886
582,36,-2.9,-60.56,298.636
583,37,-2.5,-55.0,299.805
584,38,-2.9,-60.56,298.841
585,39,-2.5,-55.0,299.671
586,40,-2.9,-60.56,298.953
587,41,-2.5,-55.0,299.488
588,42,-2.9,-60.56,299.40298
589,43,-2.5,-55.0,299.077
590,44,-2.9,-60.56,298.965
591,45,-2.5,-55.0,298.961
592,46,-2.9,-60.56,299.166
593,47,-2.5,-55.0,299.175
594,48,-2.9,-60.56,298.62
595,49,-2.5,-55.0,299.387
596,50,-2.9,-60.56,298.547
597,51,-2.5,-55.0,300.741
598,52,-2.9,-60.56,298.462
599,53,-2.5,-55.0,300.831
600,54,-2.9,-60.56,298.77
601,55,-2.5,-55.0,300.677
602,56,-2.9,-60.56,298.547
603,57,-2.5,-55.0,300.602
604,58,-2.9,-60.56,298.60498
605,59,-2.5,-55.0,300.231
606,60,-2.9,-60.56,298.29
607,61,-2.5,-55.0,299.574
608,0,-2.9,-60.56,297.582
609,1,-2.5,-55.0,298.203
610,2,-2.9,-60.56,298.132
611,3,-2.5,-55.0,298.254
612,4,-2.9,-60.56,298.099
613,5,-2.5,-55.0,300.483
614,6,-2.9,-60.56,299.001
615,7,-2.5,-55.0,302.193
616,8,-2.9,-60.56,298.755
617,9,-2.5,-55.0,301.29498
618,10,-2.9,-60.56,298.839
619,11,-2.5,-55.0,301.705
620,12,-2.9,-60.56,300.22
621,13,-2.5,-55.0,300.576
622,14,-2.9,-60.56,299.173
623,15,-2.5,-55.0,300.215
624,16,-2.9,-60.56,299.12698
625,17,-2.5,-55.0,299.81598
626,18,-2.9,-60.56,299.13
627,19,-2.5,-55.0,299.604
628,20,-2.9,-60.56,299.185
629,21,-2.5,-55.0,299.942
630,22,-2.9,-60.56,299.39398
631,23,-2.5,-55.0,300.22998
632,24,-2.9,-60.56,299.425
633,25,-2.5,-55.0,300.32
634,26,-2.9,-60.56,299.202
635,27,-2.5,-55.0,300.60098
636,28,-2.9,-60.56,299.78
637,29,-2.5,-55.0,300.404
638,30,-2.9,-60.56,299.3
639,31,-2.5,-55.0,300.44098
640,32,-2.9,-60.56,299.27
641,33,-2.5,-55.0,300.478
642,34,-2.9,-60.56,299.22998
643,35,-2.5,-55.0,300.423
644,36,-2.9,-60.56,299.88498
645,37,-2.5,-55.0,301.305
646,38,-2.9,-60.56,300.665
647,39,-2.5,-55.0,301.261
648,40,-2.9,-60.56,300.352
649,41,-2.5,-55.0,301.095
650,42,-2.9,-60.56,301.173
651,43,-2.5,-55.0,301.535
652,44,-2.9,-60.56,300.982
653,45,-2.5,-55.0,301.544
654,46,-2.9,-60.56,301.578
655,47,-2.5,-55.0,302.07898
656,48,-2.9,-60.56,301.688
657,49,-2.5,-55.0,302.912
658,50,-2.9,-60.56,301.513
659,51,-2.5,-55.0,302.844
660,52,-2.9,-60.56,300.845
661,53,-2.5,-55.0,302.839
662,54,-2.9,-60.56,300.745
663,55,-2.5,-55.0,302.91
664,56,-2.9,-60.56,300.598
665,57,-2.5,-55.0,302.25198
666,58,-2.9,-60.56,300.427
667,59,-2.5,-55.0,301.744
668,0,-2.9,-60.56,300.56198
669,1,-2.5,-55.0,301.534
670,2,-2.9,-60.56,299.63098
671,3,-2.5,-55.0,300.352
672,4,-2.9,-60.56,300.246
673,5,-2.5,-55.0,300.41998
674,6,-2.9,-60.56,299.944
